SALESORDERID,HISTORY.CREATEDBY.EMPLOYEEID,HISTORY.CREATEDAT,HISTORY.CHANGEDBY.EMPLOYEEID,HISTORY.CHANGEDAT,NOTEID,PARTNER.PARTNERID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
500000558,23,2015-07-11,22,2015-07-25,,100000026,EUR,195.16,164,31.16,P,P,I
500000559,9,2015-07-12,5,2015-07-26,,100000026,EUR,3972.22,3338,634.22,X,I,I
500000560,30,2015-07-13,18,2015-07-27,,100000025,EUR,3598.92,3024.3,574.62,P,P,I
500000561,5,2015-07-14,33,2015-07-28,,100000019,EUR,325.94,273.9,52.04,N,I,I
500000562,21,2015-07-15,15,2015-07-29,,100000022,EUR,24395,20500,3895,P,I,I
500000563,15,2015-07-16,12,2015-07-30,,100000024,EUR,5527.55,4645,882.55,X,I,I
500000564,22,2015-07-17,9,2015-07-31,,100000024,EUR,3459.33,2907,552.33,P,P,D
500000565,3,2015-07-18,6,2015-08-01,,100000021,EUR,852.04,716,136.04,C,P,D
500000566,11,2015-07-19,26,2015-08-02,,100000019,EUR,1916.5,1610.5,306,N,I,I
500000567,23,2015-07-20,11,2015-08-03,,100000022,EUR,178.14,149.7,28.44,P,I,I
500000568,11,2015-07-21,17,2015-08-04,,100000025,EUR,871.55,732.4,139.15,X,I,I
500000569,27,2015-07-22,2,2015-08-05,,100000026,EUR,1028.15,864,164.15,N,I,I
500000570,20,2015-07-23,17,2015-08-06,,100000026,EUR,5523.38,4641.5,881.88,X,I,I
500000571,15,2015-07-24,28,2015-08-07,,100000025,EUR,187.54,157.6,29.94,X,I,I
500000572,5,2015-07-25,21,2015-08-08,,100000024,EUR,521.22,438,83.22,X,I,I
500000573,33,2015-07-26,6,2015-08-09,,100000021,EUR,411.5,345.8,65.7,N,I,I
500000574,13,2015-07-27,33,2015-08-10,,100000022,EUR,11552.52,9708,1844.52,P,P,D
500000575,14,2015-07-28,18,2015-08-11,,100000023,EUR,26581.03,22337,4244.03,C,P,D
500000576,25,2015-07-29,33,2015-08-12,,100000023,EUR,9417.66,7914,1503.66,X,I,I
500000577,25,2015-07-30,6,2015-08-13,,100000023,EUR,5631.08,4732,899.08,N,I,I
500000578,10,2015-07-31,12,2015-08-14,,100000021,EUR,1405.39,1181,224.39,P,I,D
500000579,12,2015-08-01,31,2015-08-15,,100000019,EUR,761.24,639.7,121.54,C,P,D
500000580,15,2015-08-02,13,2015-08-16,,100000024,EUR,101299.22,85125.4,16173.82,N,I,I
500000581,8,2015-08-03,7,2015-08-17,,100000019,EUR,250.73,210.7,40.03,N,I,I
500000582,4,2015-08-04,13,2015-08-18,,100000024,EUR,10549.35,8865,1684.35,N,I,I
500000583,22,2015-08-05,16,2015-08-19,,100000026,EUR,195.16,164,31.16,P,P,D
500000584,13,2015-08-06,32,2015-08-20,,100000026,EUR,107100,90000,17100,P,I,I
500000585,28,2015-08-07,16,2015-08-21,,100000025,EUR,4415.73,3710.7,705.03,P,I,I
500000586,17,2015-08-08,32,2015-08-22,,100000023,EUR,325.94,273.9,52.04,N,I,I
500000587,26,2015-08-09,6,2015-08-23,,100000022,EUR,24220.07,20353,3867.07,P,I,D
500000588,13,2015-08-10,25,2015-08-24,,100000024,EUR,4499.87,3781.4,718.47,P,P,D
500000589,2,2015-08-11,28,2015-08-25,,100000024,EUR,2727.24,2291.8,435.44,C,P,D
500000590,5,2015-08-12,7,2015-08-26,,100000021,EUR,530.62,445.9,84.72,N,I,I
500000591,26,2015-08-13,20,2015-08-27,,100000019,EUR,803.25,675,128.25,C,P,D
500000592,7,2015-08-14,2,2015-08-28,,100000025,EUR,178.14,149.7,28.44,P,P,D
500000593,21,2015-08-15,23,2015-08-29,,100000022,EUR,871.55,732.4,139.15,X,I,I
500000594,23,2015-08-16,17,2015-08-30,,100000026,EUR,6543.8,5499,1044.8,X,I,I
500000595,14,2015-08-17,30,2015-08-31,,100000026,EUR,113032.74,94985.5,18047.24,X,I,I
500000596,3,2015-08-18,1,2015-09-01,,100000025,EUR,114.24,96,18.24,P,P,D
500000597,31,2015-08-19,4,2015-09-02,,100000021,EUR,521.22,438,83.22,N,I,I
500000598,14,2015-08-20,7,2015-09-03,,100000024,EUR,411.5,345.8,65.7,X,I,I
500000599,1,2015-08-21,24,2015-09-04,,100000022,EUR,11379.97,9563,1816.97,P,P,I
500000600,2,2015-08-22,15,2015-09-05,,100000012,EUR,26581.03,22337,4244.03,N,I,I
500000601,27,2015-08-23,9,2015-09-06,,100000011,EUR,9417.66,7914,1503.66,X,I,I
500000602,8,2015-08-24,21,2015-09-07,,100000015,EUR,5631.08,4732,899.08,P,P,D
500000603,12,2015-08-25,17,2015-09-08,,100000013,EUR,1405.39,1181,224.39,P,P,D
500000604,7,2015-08-26,22,2015-09-09,,100000013,EUR,761.24,639.7,121.54,X,I,I
500000605,21,2015-08-27,16,2015-09-10,,100000014,EUR,101299.22,85125.4,16173.82,C,P,D
500000606,13,2015-08-28,11,2015-09-11,,100000016,EUR,250.73,210.7,40.03,X,I,I
500000607,30,2015-08-29,24,2015-09-12,,100000017,EUR,10549.35,8865,1684.35,C,P,D
500000608,32,2015-08-30,15,2015-09-13,,100000018,EUR,195.16,164,31.16,C,P,D
500000609,27,2015-08-31,22,2015-09-14,,100000012,EUR,3972.22,3338,634.22,X,I,I
500000610,13,2015-09-01,29,2015-09-15,,100000011,EUR,3598.92,3024.3,574.62,P,P,I
500000611,7,2015-09-02,14,2015-09-16,,100000017,EUR,325.94,273.9,52.04,N,I,I
500000612,3,2015-09-03,33,2015-09-17,,100000015,EUR,24395,20500,3895,X,I,I
500000613,5,2015-09-04,17,2015-09-18,,100000013,EUR,5527.55,4645,882.55,X,I,I
500000614,25,2015-09-05,14,2015-09-19,,100000013,EUR,3459.33,2907,552.33,N,I,I
500000615,28,2015-09-06,11,2015-09-20,,100000014,EUR,852.04,716,136.04,C,P,D
500000616,19,2015-09-07,7,2015-09-21,,100000017,EUR,1916.5,1610.5,306,C,P,D
500000617,8,2015-09-08,22,2015-09-22,,100000015,EUR,178.14,149.7,28.44,P,P,I
500000618,16,2015-09-09,16,2015-09-23,,100000011,EUR,871.55,732.4,139.15,C,P,D
500000619,9,2015-09-10,10,2015-09-24,,100000018,EUR,1028.15,864,164.15,P,P,D
500000620,4,2015-09-11,18,2015-09-25,,100000012,EUR,5523.38,4641.5,881.88,C,P,D
500000621,26,2015-09-12,9,2015-09-26,,100000011,EUR,187.54,157.6,29.94,N,I,I
500000622,22,2015-09-13,30,2015-09-27,,100000013,EUR,521.22,438,83.22,N,I,I
500000623,17,2015-09-14,21,2015-09-28,,100000014,EUR,411.5,345.8,65.7,X,I,I
500000624,16,2015-09-15,32,2015-09-29,,100000015,EUR,11552.52,9708,1844.52,X,I,I
500000625,19,2015-09-16,19,2015-09-30,,100000016,EUR,26581.03,22337,4244.03,C,P,D
500000626,25,2015-09-17,2,2015-10-01,,100000016,EUR,9417.66,7914,1503.66,N,I,I
500000627,33,2015-09-18,19,2015-10-02,,100000016,EUR,5631.08,4732,899.08,C,P,D
500000628,6,2015-09-19,19,2015-10-03,,100000014,EUR,1405.39,1181,224.39,N,I,I
500000629,31,2015-09-20,4,2015-10-04,,100000017,EUR,761.24,639.7,121.54,N,I,I
500000630,17,2015-09-21,1,2015-10-05,,100000013,EUR,101299.22,85125.4,16173.82,P,I,D
500000631,14,2015-09-22,27,2015-10-06,,100000017,EUR,250.73,210.7,40.03,X,I,I
500000632,1,2015-09-23,17,2015-10-07,,100000013,EUR,10549.35,8865,1684.35,N,I,I
500000633,2,2015-09-24,3,2015-10-08,,100000018,EUR,195.16,164,31.16,P,I,D
500000634,31,2015-09-25,32,2015-10-09,,100000012,EUR,107100,90000,17100,P,P,D
500000635,19,2015-09-26,10,2015-10-10,,100000011,EUR,4415.73,3710.7,705.03,C,P,D
500000636,22,2015-09-27,27,2015-10-11,,100000016,EUR,325.94,273.9,52.04,P,P,D
500000637,31,2015-09-28,23,2015-10-12,,100000015,EUR,24220.07,20353,3867.07,X,I,I
500000638,30,2015-09-29,11,2015-10-13,,100000013,EUR,4499.87,3781.4,718.47,P,P,I
500000639,28,2015-09-30,28,2015-10-14,,100000013,EUR,2727.24,2291.8,435.44,X,I,I
500000640,27,2015-10-01,1,2015-10-15,,100000014,EUR,530.62,445.9,84.72,N,I,I
500000641,24,2015-10-02,27,2015-10-16,,100000017,EUR,803.25,675,128.25,N,I,I
500000642,32,2015-10-03,22,2015-10-17,,100000011,EUR,178.14,149.7,28.44,C,P,D
500000643,7,2015-10-04,6,2015-10-18,,100000015,EUR,871.55,732.4,139.15,P,I,I
500000644,17,2015-10-05,22,2015-10-19,,100000018,EUR,6543.8,5499,1044.8,P,P,D
500000645,8,2015-10-06,13,2015-10-20,,100000012,EUR,113032.74,94985.5,18047.24,C,P,D
500000646,20,2015-10-07,14,2015-10-21,,100000011,EUR,114.24,96,18.24,P,P,D
500000647,26,2015-10-08,28,2015-10-22,,100000014,EUR,521.22,438,83.22,N,I,I
500000648,24,2015-10-09,13,2015-10-23,,100000013,EUR,411.5,345.8,65.7,X,I,I
500000649,16,2015-10-10,9,2015-10-24,,100000015,EUR,11379.97,9563,1816.97,P,P,I
500000650,9,2015-10-11,12,2015-10-25,,100000028,EUR,26581.03,22337,4244.03,X,I,I
500000651,25,2015-10-12,22,2015-10-26,,100000030,EUR,9417.66,7914,1503.66,C,P,D
500000652,9,2015-10-13,25,2015-10-27,,100000031,EUR,5631.08,4732,899.08,N,I,I
500000653,28,2015-10-14,5,2015-10-28,,100000032,EUR,1405.39,1181,224.39,P,I,I
500000654,14,2015-10-15,15,2015-10-29,,100000032,EUR,761.24,639.7,121.54,P,I,I
500000655,33,2015-10-16,16,2015-10-30,,100000033,EUR,101299.22,85125.4,16173.82,P,P,I
500000656,9,2015-10-17,25,2015-10-31,,100000034,EUR,250.73,210.7,40.03,P,I,I
500000657,24,2015-10-18,7,2015-11-01,,100000035,EUR,10549.35,8865,1684.35,P,I,I
500000658,32,2015-10-19,33,2015-11-02,,100000027,EUR,195.16,164,31.16,P,P,D
500000659,20,2015-10-20,3,2015-11-03,,100000028,EUR,3972.22,3338,634.22,C,P,D
500000660,27,2015-10-21,26,2015-11-04,,100000030,EUR,3598.92,3024.3,574.62,X,I,I
500000661,31,2015-10-22,2,2015-11-05,,100000035,EUR,325.94,273.9,52.04,C,P,D
500000662,16,2015-10-23,24,2015-11-06,,100000031,EUR,24395,20500,3895,C,P,D
500000663,27,2015-10-24,8,2015-11-07,,100000032,EUR,5527.55,4645,882.55,P,I,D
500000664,9,2015-10-25,7,2015-11-08,,100000032,EUR,3459.33,2907,552.33,P,P,D
500000665,19,2015-10-26,11,2015-11-09,,100000033,EUR,852.04,716,136.04,C,P,D
500000666,7,2015-10-27,29,2015-11-10,,100000035,EUR,1916.5,1610.5,306,X,I,I
500000667,15,2015-10-28,17,2015-11-11,,100000031,EUR,178.14,149.7,28.44,C,P,D
500000668,20,2015-10-29,28,2015-11-12,,100000030,EUR,871.55,732.4,139.15,N,I,I
500000669,4,2015-10-30,33,2015-11-13,,100000027,EUR,1028.15,864,164.15,X,I,I
500000670,16,2015-10-31,16,2015-11-14,,100000028,EUR,5523.38,4641.5,881.88,C,P,D
500000671,32,2015-11-01,27,2015-11-15,,100000030,EUR,187.54,157.6,29.94,N,I,I
500000672,21,2015-11-02,14,2015-11-16,,100000032,EUR,521.22,438,83.22,C,P,D
500000673,21,2015-11-03,13,2015-11-17,,100000033,EUR,411.5,345.8,65.7,X,I,I
500000674,14,2015-11-04,33,2015-11-18,,100000031,EUR,11552.52,9708,1844.52,P,I,I
500000675,8,2015-11-05,30,2015-11-19,,100000034,EUR,26581.03,22337,4244.03,X,I,I
500000676,11,2015-11-06,30,2015-11-20,,100000034,EUR,9417.66,7914,1503.66,X,I,I
500000677,12,2015-11-07,5,2015-11-21,,100000034,EUR,5631.08,4732,899.08,C,P,D
500000678,25,2015-11-08,32,2015-11-22,,100000033,EUR,1405.39,1181,224.39,C,P,D
500000679,24,2015-11-09,14,2015-11-23,,100000035,EUR,761.24,639.7,121.54,C,P,D
500000680,14,2015-11-10,20,2015-11-24,,100000032,EUR,101299.22,85125.4,16173.82,X,I,I
500000681,22,2015-11-11,29,2015-11-25,,100000035,EUR,250.73,210.7,40.03,C,P,D
500000682,4,2015-11-12,23,2015-11-26,,100000032,EUR,10549.35,8865,1684.35,C,P,D
500000683,19,2015-11-13,5,2015-11-27,,100000027,EUR,195.16,164,31.16,X,I,I
500000684,11,2015-11-14,32,2015-11-28,,100000028,EUR,107100,90000,17100,N,I,I
500000685,22,2015-11-15,20,2015-11-29,,100000030,EUR,4415.73,3710.7,705.03,C,P,D
500000686,2,2015-11-16,13,2015-11-30,,100000034,EUR,325.94,273.9,52.04,X,I,I
500000687,31,2015-11-17,27,2015-12-01,,100000031,EUR,24220.07,20353,3867.07,N,I,I
500000688,2,2015-11-18,3,2015-12-02,,100000032,EUR,4499.87,3781.4,718.47,N,I,I
500000689,14,2015-11-19,6,2015-12-03,,100000032,EUR,2727.24,2291.8,435.44,N,I,I
500000690,1,2015-11-20,32,2015-12-04,,100000033,EUR,530.62,445.9,84.72,C,P,D
500000691,4,2015-11-21,31,2015-12-05,,100000035,EUR,803.25,675,128.25,C,P,D
500000692,22,2015-11-22,5,2015-12-06,,100000030,EUR,178.14,149.7,28.44,N,I,I
500000693,28,2015-11-23,30,2015-12-07,,100000031,EUR,871.55,732.4,139.15,C,P,D
500000694,1,2015-11-24,32,2015-12-08,,100000027,EUR,6543.8,5499,1044.8,X,I,I
500000695,32,2015-11-25,3,2015-12-09,,100000028,EUR,113032.74,94985.5,18047.24,N,I,I
500000696,33,2015-11-26,7,2015-12-10,,100000030,EUR,114.24,96,18.24,X,I,I
500000697,7,2015-11-27,6,2015-12-11,,100000033,EUR,521.22,438,83.22,P,I,I
500000698,8,2015-11-28,16,2015-12-12,,100000032,EUR,411.5,345.8,65.7,C,P,D
500000699,27,2015-11-29,23,2015-12-13,,100000031,EUR,11379.97,9563,1816.97,P,P,D
500000700,20,2015-11-30,24,2015-12-14,,100000044,EUR,26581.03,22337,4244.03,X,I,I
500000701,27,2015-12-01,5,2015-12-15,,100000036,EUR,9417.66,7914,1503.66,C,P,D
500000702,23,2015-12-02,22,2015-12-16,,100000038,EUR,5631.08,4732,899.08,C,P,D
500000703,11,2015-12-03,21,2015-12-17,,100000037,EUR,1405.39,1181,224.39,C,P,D
500000704,1,2015-12-04,11,2015-12-18,,100000037,EUR,761.24,639.7,121.54,N,I,I
500000705,24,2015-12-05,12,2015-12-19,,100000042,EUR,101299.22,85125.4,16173.82,P,P,I
500000706,28,2015-12-06,7,2015-12-20,,100000044,EUR,250.73,210.7,40.03,X,I,I
500000707,17,2015-12-07,17,2015-12-21,,100000041,EUR,10549.35,8865,1684.35,X,I,I
500000708,32,2015-12-08,7,2015-12-22,,100000043,EUR,195.16,164,31.16,X,I,I
500000709,1,2015-12-09,23,2015-12-23,,100000044,EUR,3972.22,3338,634.22,X,I,I
500000710,1,2015-12-10,32,2015-12-24,,100000036,EUR,3598.92,3024.3,574.62,P,P,I
500000711,21,2015-12-11,27,2015-12-25,,100000041,EUR,325.94,273.9,52.04,C,P,D
500000712,33,2015-12-12,17,2015-12-26,,100000038,EUR,24395,20500,3895,P,P,I
500000713,26,2015-12-13,27,2015-12-27,,100000037,EUR,5527.55,4645,882.55,P,I,D
500000714,29,2015-12-14,6,2015-12-28,,100000037,EUR,3459.33,2907,552.33,X,I,I
500000715,24,2015-12-15,19,2015-12-29,,100000042,EUR,852.04,716,136.04,P,I,D
500000716,7,2015-12-16,20,2015-12-30,,100000041,EUR,1916.5,1610.5,306,X,I,I
500000717,4,2015-12-17,30,2015-12-31,,100000038,EUR,178.14,149.7,28.44,X,I,I
500000718,24,2015-12-18,25,2014-01-01,,100000036,EUR,871.55,732.4,139.15,N,I,I
500000719,19,2015-12-19,21,2014-01-02,,100000043,EUR,1028.15,864,164.15,N,I,I
500000720,26,2015-12-20,6,2014-01-03,,100000044,EUR,5523.38,4641.5,881.88,N,I,I
500000721,4,2015-12-21,23,2014-01-04,,100000036,EUR,187.54,157.6,29.94,N,I,I
500000722,28,2015-12-22,15,2014-01-05,,100000037,EUR,521.22,438,83.22,C,P,D
500000723,12,2015-12-23,29,2014-01-06,,100000042,EUR,411.5,345.8,65.7,X,I,I
500000724,27,2015-12-24,28,2014-01-07,,100000038,EUR,11552.52,9708,1844.52,N,I,I
500000725,19,2015-12-25,26,2014-01-08,,100000044,EUR,26581.03,22337,4244.03,X,I,I
500000726,5,2015-12-26,24,2014-01-09,,100000044,EUR,9417.66,7914,1503.66,C,P,D
500000727,29,2015-12-27,29,2014-01-10,,100000044,EUR,5631.08,4732,899.08,N,I,I
500000728,21,2015-12-28,14,2014-01-11,,100000042,EUR,1405.39,1181,224.39,N,I,I
500000729,1,2015-12-29,28,2014-01-12,,100000041,EUR,761.24,639.7,121.54,C,P,D
500000730,5,2015-12-30,30,2014-01-13,,100000037,EUR,101299.22,85125.4,16173.82,C,P,D
500000731,9,2015-12-31,19,2014-01-14,,100000041,EUR,250.73,210.7,40.03,P,P,I
500000732,32,2015-01-01,33,2015-01-15,,100000037,EUR,10549.35,8865,1684.35,P,I,I
500000733,11,2015-01-02,9,2015-01-16,,100000043,EUR,195.16,164,31.16,P,I,D
500000734,29,2015-01-03,1,2015-01-17,,100000044,EUR,107100,90000,17100,C,P,D
500000735,13,2015-01-04,28,2015-01-18,,100000036,EUR,4415.73,3710.7,705.03,N,I,I
500000736,29,2015-01-05,16,2015-01-19,,100000044,EUR,325.94,273.9,52.04,C,P,D
500000737,5,2015-01-06,22,2015-01-20,,100000038,EUR,24220.07,20353,3867.07,C,P,D
500000738,23,2015-01-07,8,2015-01-21,,100000037,EUR,4499.87,3781.4,718.47,X,I,I
500000739,24,2015-01-08,7,2015-01-22,,100000037,EUR,2727.24,2291.8,435.44,X,I,I
500000740,9,2015-01-09,10,2015-01-23,,100000042,EUR,530.62,445.9,84.72,X,I,I
500000741,31,2015-01-10,33,2015-01-24,,100000041,EUR,803.25,675,128.25,X,I,I
500000742,21,2015-01-11,2,2015-01-25,,100000036,EUR,178.14,149.7,28.44,N,I,I
500000743,20,2015-01-12,24,2015-01-26,,100000038,EUR,871.55,732.4,139.15,P,P,D
500000744,6,2015-01-13,16,2015-01-27,,100000043,EUR,6543.8,5499,1044.8,P,P,D
500000745,8,2015-01-14,23,2015-01-28,,100000044,EUR,113032.74,94985.5,18047.24,X,I,I
500000746,10,2015-01-15,12,2015-01-29,,100000036,EUR,114.24,96,18.24,X,I,I
500000747,7,2015-01-16,26,2015-01-30,,100000042,EUR,521.22,438,83.22,P,P,I
500000748,23,2015-01-17,4,2015-01-31,,100000037,EUR,411.5,345.8,65.7,X,I,I
500000749,21,2015-01-18,19,2015-02-01,,100000038,EUR,11379.97,9563,1816.97,P,I,D
500000750,26,2015-01-19,1,2015-02-02,,100000000,EUR,26581.03,22337,4244.03,X,I,I
500000751,8,2015-01-20,1,2015-02-03,,100000002,EUR,9417.66,7914,1503.66,C,P,D
500000752,31,2015-01-21,20,2015-02-04,,100000005,EUR,5631.08,4732,899.08,C,P,D
500000753,15,2015-01-22,22,2015-02-05,,100000006,EUR,1405.39,1181,224.39,X,I,I
500000754,18,2015-01-23,28,2015-02-06,,100000006,EUR,761.24,639.7,121.54,N,I,I
500000755,21,2015-01-24,18,2015-02-07,,100000008,EUR,101299.22,85125.4,16173.82,C,P,D
500000756,8,2015-01-25,24,2015-02-08,,100000003,EUR,250.73,210.7,40.03,P,P,I
500000757,25,2015-01-26,9,2015-02-09,,100000004,EUR,10549.35,8865,1684.35,N,I,I
500000758,18,2015-01-27,15,2015-02-10,,100000009,EUR,195.16,164,31.16,P,P,I
500000759,30,2015-01-28,4,2015-02-11,,100000000,EUR,3972.22,3338,634.22,X,I,I
500000760,21,2015-01-29,13,2015-02-12,,100000002,EUR,3598.92,3024.3,574.62,C,P,D
500000761,7,2015-01-30,18,2015-02-13,,100000004,EUR,325.94,273.9,52.04,P,P,D
500000762,17,2015-01-31,33,2015-02-14,,100000005,EUR,24395,20500,3895,P,I,I
500000763,25,2015-02-01,27,2015-02-15,,100000006,EUR,5527.55,4645,882.55,P,I,D
500000764,27,2015-02-02,14,2015-02-16,,100000006,EUR,3459.33,2907,552.33,P,I,D
500000765,7,2015-02-03,21,2015-02-17,,100000008,EUR,852.04,716,136.04,P,P,D
500000766,11,2015-02-04,26,2015-02-18,,100000004,EUR,1916.5,1610.5,306,P,I,I
500000767,2,2015-02-05,12,2015-02-19,,100000005,EUR,178.14,149.7,28.44,N,I,I
500000768,10,2015-02-06,7,2015-02-20,,100000002,EUR,871.55,732.4,139.15,C,P,D
500000769,5,2015-02-07,20,2015-02-21,,100000009,EUR,1028.15,864,164.15,X,I,I
500000770,19,2015-02-08,30,2015-02-22,,100000000,EUR,5523.38,4641.5,881.88,N,I,I
500000771,9,2015-02-09,32,2015-02-23,,100000002,EUR,187.54,157.6,29.94,C,P,D
500000772,7,2015-02-10,32,2015-02-24,,100000006,EUR,521.22,438,83.22,X,I,I
500000773,19,2015-02-11,7,2015-02-25,,100000008,EUR,411.5,345.8,65.7,N,I,I
500000774,20,2015-02-12,4,2015-02-26,,100000005,EUR,11552.52,9708,1844.52,C,P,D
500000775,26,2015-02-13,12,2015-02-27,,100000003,EUR,26581.03,22337,4244.03,C,P,D
500000776,9,2015-02-14,24,2015-02-28,,100000003,EUR,9417.66,7914,1503.66,C,P,D
500000777,14,2015-02-15,3,2015-02-28,,100000003,EUR,5631.08,4732,899.08,N,I,I
500000778,6,2015-02-16,29,2015-03-01,,100000008,EUR,1405.39,1181,224.39,C,P,D
500000779,24,2015-02-17,20,2015-03-02,,100000004,EUR,761.24,639.7,121.54,C,P,D
500000780,16,2015-02-18,19,2015-03-03,,100000006,EUR,101299.22,85125.4,16173.82,C,P,D
500000781,12,2015-02-19,27,2015-03-04,,100000004,EUR,250.73,210.7,40.03,X,I,I
500000782,25,2015-02-20,16,2015-03-05,,100000006,EUR,10549.35,8865,1684.35,C,P,D
500000783,10,2015-02-21,1,2015-03-06,,100000009,EUR,195.16,164,31.16,P,I,I
500000784,23,2015-02-22,5,2015-03-07,,100000000,EUR,107100,90000,17100,C,P,D
500000785,28,2015-02-23,27,2015-03-08,,100000002,EUR,4415.73,3710.7,705.03,X,I,I
500000786,6,2015-02-24,13,2015-03-09,,100000003,EUR,325.94,273.9,52.04,X,I,I
500000787,28,2015-02-25,12,2015-03-10,,100000005,EUR,24220.07,20353,3867.07,C,P,D
500000788,7,2015-02-26,18,2015-03-11,,100000006,EUR,4499.87,3781.4,718.47,C,P,D
500000789,27,2015-02-27,26,2015-03-12,,100000006,EUR,2727.24,2291.8,435.44,X,I,I
500000790,29,2015-02-28,33,2015-03-13,,100000008,EUR,530.62,445.9,84.72,C,P,D
500000791,10,2015-02-28,6,2015-03-14,,100000004,EUR,803.25,675,128.25,C,P,D
500000792,26,2015-03-01,20,2015-03-15,,100000002,EUR,178.14,149.7,28.44,N,I,I
500000793,15,2015-03-02,11,2015-03-16,,100000005,EUR,871.55,732.4,139.15,P,P,D
500000794,17,2015-03-03,18,2015-03-17,,100000009,EUR,6543.8,5499,1044.8,P,I,I
500000795,10,2015-03-04,10,2015-03-18,,100000000,EUR,113032.74,94985.5,18047.24,X,I,I
500000796,32,2015-03-05,16,2015-03-19,,100000002,EUR,114.24,96,18.24,C,P,D
500000797,13,2015-03-06,5,2015-03-20,,100000008,EUR,521.22,438,83.22,C,P,D
500000798,26,2015-03-07,19,2015-03-21,,100000006,EUR,411.5,345.8,65.7,C,P,D
500000799,21,2015-03-08,17,2015-03-22,,100000005,EUR,11379.97,9563,1816.97,N,I,I
500000800,22,2015-03-09,9,2015-03-23,,100000026,EUR,26581.03,22337,4244.03,X,I,I
500000801,11,2015-03-10,26,2015-03-24,,100000025,EUR,9417.66,7914,1503.66,X,I,I
500000802,18,2015-03-11,6,2015-03-25,,100000022,EUR,5631.08,4732,899.08,N,I,I
500000803,19,2015-03-12,31,2015-03-26,,100000024,EUR,1405.39,1181,224.39,C,P,D
500000804,11,2015-03-13,22,2015-03-27,,100000024,EUR,761.24,639.7,121.54,P,P,D
500000805,1,2015-03-14,13,2015-03-28,,100000021,EUR,101299.22,85125.4,16173.82,P,I,I
500000806,26,2015-03-15,21,2015-03-29,,100000023,EUR,250.73,210.7,40.03,P,P,I
500000807,10,2015-03-16,16,2015-03-30,,100000019,EUR,10549.35,8865,1684.35,C,P,D
500000808,7,2015-03-17,26,2015-03-31,,100000026,EUR,195.16,164,31.16,X,I,I
500000809,5,2015-03-18,13,2015-04-01,,100000026,EUR,3972.22,3338,634.22,N,I,I
500000810,19,2015-03-19,6,2015-04-02,,100000025,EUR,3598.92,3024.3,574.62,C,P,D
500000811,32,2015-03-20,8,2015-04-03,,100000019,EUR,325.94,273.9,52.04,P,P,D
500000812,33,2015-03-21,1,2015-04-04,,100000022,EUR,24395,20500,3895,P,I,D
500000813,16,2015-03-22,12,2015-04-05,,100000024,EUR,5527.55,4645,882.55,P,I,D
500000814,14,2015-03-23,1,2015-04-06,,100000024,EUR,3459.33,2907,552.33,N,I,I
500000815,28,2015-03-24,26,2015-04-07,,100000021,EUR,852.04,716,136.04,P,P,I
500000816,26,2015-03-25,21,2015-04-08,,100000019,EUR,1916.5,1610.5,306,N,I,I
500000817,12,2015-03-26,23,2015-04-09,,100000022,EUR,178.14,149.7,28.44,P,I,I
500000818,11,2015-03-27,12,2015-04-10,,100000025,EUR,871.55,732.4,139.15,N,I,I
500000819,3,2015-03-28,5,2015-04-11,,100000026,EUR,1028.15,864,164.15,X,I,I
500000820,18,2015-03-29,14,2015-04-12,,100000026,EUR,5523.38,4641.5,881.88,X,I,I
500000821,26,2015-03-30,18,2015-04-13,,100000025,EUR,187.54,157.6,29.94,P,P,D
500000822,23,2015-03-31,5,2015-04-14,,100000024,EUR,521.22,438,83.22,N,I,I
500000823,25,2015-04-01,23,2015-04-15,,100000021,EUR,411.5,345.8,65.7,N,I,I
500000824,12,2015-04-02,12,2015-04-16,,100000022,EUR,11552.52,9708,1844.52,X,I,I
500000825,7,2015-04-03,13,2015-04-17,,100000023,EUR,26581.03,22337,4244.03,P,P,I
500000826,19,2015-04-04,7,2015-04-18,,100000023,EUR,9417.66,7914,1503.66,P,P,D
500000827,24,2015-04-05,26,2015-04-19,,100000023,EUR,5631.08,4732,899.08,P,P,I
500000828,21,2015-04-06,28,2015-04-20,,100000021,EUR,1405.39,1181,224.39,N,I,I
500000829,26,2015-04-07,14,2015-04-21,,100000019,EUR,761.24,639.7,121.54,C,P,D
500000830,16,2015-04-08,10,2015-04-22,,100000024,EUR,101299.22,85125.4,16173.82,N,I,I
500000831,15,2015-04-09,18,2015-04-23,,100000019,EUR,250.73,210.7,40.03,X,I,I
500000832,19,2015-04-10,14,2015-04-24,,100000024,EUR,10549.35,8865,1684.35,X,I,I
500000833,13,2015-04-11,16,2015-04-25,,100000026,EUR,195.16,164,31.16,X,I,I
500000834,32,2015-04-12,33,2015-04-26,,100000026,EUR,107100,90000,17100,P,P,D
500000835,12,2015-04-13,27,2015-04-27,,100000025,EUR,4415.73,3710.7,705.03,P,I,I
500000836,4,2015-04-14,18,2015-04-28,,100000023,EUR,325.94,273.9,52.04,N,I,I
500000837,18,2015-04-15,29,2015-04-29,,100000022,EUR,24220.07,20353,3867.07,P,P,D
500000838,15,2015-04-16,1,2015-04-30,,100000024,EUR,4499.87,3781.4,718.47,N,I,I
